Granularity: 10s    Final score: 1779.3376256501874    Configs: 22    Min time: 3    Max time: 258
Granularity: 15s    Final score: 1810.6484441872424    Configs: 16    Min time: 11    Max time: 418
Granularity: 20s    Final score: 1841.468102550371    Configs: 13    Min time: 16    Max time: 461
Granularity: 30s    Final score: 1832.504645214839    Configs: 12    Min time: 26    Max time: 461
Granularity: 40s    Final score: 1834.07600306424    Configs: 10    Min time: 35    Max time: 518
Granularity: 50s    Final score: 1827.5728018067737    Configs: 9    Min time: 40    Max time: 540
Granularity: 60s    Final score: 1838.5266293798236    Configs: 9    Min time: 57    Max time: 535
Granularity: 70s    Final score: 1834.621248438618    Configs: 8    Min time: 62    Max time: 545
Granularity: 80s    Final score: 1828.5159029379129    Configs: 8    Min time: 78    Max time: 476
Granularity: 90s    Final score: 1837.2940676226233    Configs: 8    Min time: 79    Max time: 535
Granularity: 100s    Final score: 1834.8448400227398    Configs: 7    Min time: 99    Max time: 488
Granularity: 110s    Final score: 1833.554478480356    Configs: 6    Min time: 100    Max time: 539
Granularity: 120s    Final score: 1833.005779392835    Configs: 6    Min time: 104    Max time: 597
Granularity: 130s    Final score: 1826.8551313967853    Configs: 6    Min time: 126    Max time: 506
Granularity: 140s    Final score: 1821.7309948491832    Configs: 6    Min time: 126    Max time: 415
Granularity: 150s    Final score: 1833.2090505585625    Configs: 6    Min time: 146    Max time: 449
Granularity: 160s    Final score: 1830.1508411087154    Configs: 6    Min time: 146    Max time: 480
Granularity: 170s    Final score: 1827.6734298672786    Configs: 6    Min time: 153    Max time: 506
Granularity: 180s    Final score: 1835.4438846194398    Configs: 6    Min time: 153    Max time: 539
Granularity: 190s    Final score: 1824.6746790259629    Configs: 6    Min time: 175    Max time: 567
Granularity: 200s    Final score: 1829.0352835024953    Configs: 6    Min time: 175    Max time: 597
Granularity: 220s    Final score: 1825.3248739633746    Configs: 7    Min time: 212    Max time: 433
Granularity: 240s    Final score: 1820.658451872016    Configs: 5    Min time: 229    Max time: 476
Granularity: 260s    Final score: 1815.2215967307495    Configs: 5    Min time: 249    Max time: 506
Granularity: 280s    Final score: 1820.360758270193    Configs: 5    Min time: 261    Max time: 539
Granularity: 300s    Final score: 1826.1930273299256    Configs: 5    Min time: 285    Max time: 597
Granularity: 330s    Final score: 1812.1025352992392    Configs: 5    Min time: 311    Max time: 330
Granularity: 360s    Final score: 1823.0456086651452    Configs: 5    Min time: 351    Max time: 359
Granularity: 390s    Final score: 1781.4340096543442    Configs: 4    Min time: 353    Max time: 389
Granularity: 420s    Final score: 1790.2332559398806    Configs: 4    Min time: 405    Max time: 415
Granularity: 450s    Final score: 1800.931314079741    Configs: 4    Min time: 444    Max time: 449
Granularity: 500s    Final score: 1753.589388378639    Configs: 3    Min time: 483    Max time: 500
Granularity: 550s    Final score: 1763.5812771433423    Configs: 3    Min time: 540    Max time: 545
Granularity: 600s    Final score: 1771.1809114352518    Configs: 3    Min time: 583    Max time: 597
Granularity: 900s    Final score: 1672.8948875742515    Configs: 2    Min time: 583    Max time: 597
